AP,REG,type,an_total_value_value,an_total_low_value,an_total_high_value,excessrate_total_value_value,excessrate_total_low_value,excessrate_total_high_value,fraction_total_value_value,fraction_total_low_value,fraction_total_high_value
pm25v0,PL824,Attribute,110.161362,90.90413599,130.2205019,183.3125904,151.2678439,216.6917557,2.114447715,1.744834459,2.499447155
pm25v0,PL823,Attribute,93.95650957,72.78760615,116.9262945,150.7607729,116.7935821,187.6176103,1.794058339,1.389859444,2.232635309
pm25v0,PL822,Attribute,79.38188247,63.79649472,94.55408215,204.9850706,164.739451,244.1637361,2.092463742,1.681644524,2.49239012
pm25v0,PL821,Attribute,66.0509429,48.10614962,83.82636548,139.568008,101.6500097,177.1281253,1.537003372,1.119437396,1.950621678
pm25v0,PL815,Attribute,111.2038148,94.42333484,129.4209066,231.8206131,196.8392237,269.7968422,2.077499811,1.764009093,2.417828829
pm25v0,PL814,Attribute,116.4823673,96.23763886,137.1700029,164.277953,135.7263152,193.454233,1.662780991,1.373789808,1.958093975
pm25v0,PL812,Attribute,138.7093999,115.3250458,161.3392737,221.6922107,184.3181415,257.8604463,1.911187739,1.588988204,2.22299232
pm25v0,PL811,Attribute,66.39883646,55.27431078,77.72765123,220.308446,183.397725,257.8970022,1.976642657,1.645474634,2.313891948
pm25v0,PL722,Attribute,126.6995908,106.8090857,147.0743328,264.3401472,222.841496,306.8490978,2.139109241,1.803285275,2.483111321
pm25v0,PL721,Attribute,133.8508977,109.5931882,158.0880731,176.002756,144.1058753,207.8726437,1.670659533,1.367891809,1.973168819
pm25v0,PL715,Attribute,88.38397585,76.21569166,101.1024146,243.6632666,210.1168537,278.7263916,1.986985896,1.713425609,2.272914965
pm25v0,PL714,Attribute,112.4115028,97.528964,128.2632247,251.9915771,218.6295514,287.526213,2.170882879,1.883472728,2.477009668
pm25v0,PL713,Attribute,114.2754327,95.3308473,133.5517812,195.0181892,162.688056,227.9145015,1.70633266,1.423456735,1.994162399
pm25v0,PL712,Attribute,81.45420195,69.65870792,93.51667436,212.1185241,181.4013591,243.5309365,1.817254469,1.554092796,2.086373422
pm25v0,PL711,Attribute,153.7896649,114.7477386,193.501529,220.5828961,164.5844132,277.5423133,1.496850026,1.116850955,1.883369768
pm25v0,PL638,Attribute,44.84567752,34.01891582,55.17933206,105.2094522,79.80950468,129.4525563,1.180467688,0.895480772,1.452472023
pm25v0,PL637,Attribute,21.60706367,15.60107847,27.45864777,97.62999761,70.49240895,124.0699121,1.169464093,0.84440252,1.486163616
pm25v0,PL636,Attribute,32.53194206,24.0393724,40.78312501,98.64381064,72.89251077,123.6631816,1.085970622,0.802478703,1.361401889
pm25v0,PL634,Attribute,42.44411402,28.57078064,55.62178158,81.17054346,54.63928376,106.3712008,1.108063372,0.745887341,1.45207222
pm25v0,PL633,Attribute,71.38133406,46.75440369,97.65767681,95.75747445,62.7206435,131.0069857,0.950628016,0.622659241,1.30055953
pm25v0,PL623,Attribute,32.03682577,23.70688544,40.31280077,113.1110505,83.70085835,142.3307289,1.218817045,0.901915399,1.533662374
pm25v0,PL622,Attribute,62.82945695,47.29636523,77.61008983,102.7534544,77.35007403,126.9262535,1.112703018,0.837616201,1.374462413
